"Gellish";"English";"Version:";"9.0";"25-okt-16";"Base Ontology";"Taxonomic Dictionary of Formal English: Upper ontology section (core)";;;;;;;;;;;;;;;;;;;;;;
0;69;54;71;16;5;43;44;2;101;1;60;3;45;15;201;65;4;66;7;14;50;68;8;67;9;10;12;13
416;910036;"English";492014;"Gellish";491285;"statement";;1588;"has an intended role as a";1006978;6066;"is a base phrase for";;1588;"classification of a physical object by its role";;;;;;1048;"facts about kinds of relations between individual things and kinds";"accepted";;"26-sep-02";"26-sep-02";"Andries van Renssen";"ISO 10303-221:2002"
417;910036;"English";492014;"Gellish";491285;"statement";;1588;"is a kind of role that is a classifier of";1006979;1986;"is an inverse phrase for";;1588;"classification of a physical object by its role";;;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"26-sep-02";"5-jun-09";"Andries van Renssen";"ISO 10303-221:2002"
418;910036;"English";492014;"Gellish";491285;"statement";;1588;"is classified by role as a";1026384;6066;"is a base phrase for";;1588;"classification of a physical object by its role";;;;;;1048;"facts about kinds of relations between individual things and kinds";"accepted";;"2-jul-08";"2-jul-08";"Andries van Renssen";"Andries van Renssen"
775;910036;"English";492014;"Gellish";491285;"statement";;1588;"has a role as a";1027636;6066;"is a base phrase for";;1588;"classification of a physical object by its role";;;;;;1048;"facts about kinds of relations between individual things and kinds";"accepted";;"14-dec-12";"14-dec-12";"Andries van Renssen";"Andries van Renssen"
422;910036;"English";193259;"ontology";491285;"statement";1,1;1726;"being a qualitative subtype of a concept";1003693;5944;"has by definition as first role a";1,1;4328;"qualitative subtype";;;;;;1045;"facts about conceptual relations";"accepted";;"3-sep-99";"7-mei-04";"Andries van Renssen";"Epistle modelling team"
423;910036;"English";193259;"ontology";491285;"statement";1,1;1726;"being a qualitative subtype of a concept";1003771;5945;"has by definition as second role a";1,1;4329;"nature";;;;;;1045;"facts about conceptual relations";"accepted";;"3-sep-99";"17-jan-02";"Epstle Core Model modelling team";"Epistle modelling team"
421;910036;"English";193259;"ontology";491285;"statement";;1726;"being a qualitative subtype of a concept";1002171;1146;"is a kind of";;1146;"specialization relation between kinds of things";"that indicates that a qualitative concept is a specialization of a conceptual concept. Typically a qualitative aspect, such as red or 37 deg C";"is a specialization relation between kinds of things that indicates that a qualitative concept is a specialization of a conceptual concept. Typically a qualitative aspect, such as red or 37 deg C, being a qualification of a conceptual aspect, such as colour or temperature but also a qualitative physical object, such as model X-123 of a manufacturer, being a qualification of a conceptual physical object, such as pump. This is not a subtype of classification of a kind (1224), but of specialization of a kind (specialized by a qualifying aspect of the members of the kind (and not by an aspect of the kind)).";;;;1045;"facts about conceptual relations";"accepted";;"3-sep-99";"15-feb-14";"Andries van Renssen";"ISO 16354:2013"
424;910036;"English";492014;"Gellish";491285;"statement";;1726;"is a qualitative subtype of";1028154;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. red <is a qualitative> colour, requirement-1 <is a qualitative> requirement.";1045;"facts about kinds of relations";"accepted";;"13-nov-13";"13-nov-13";"Andries van Renssen";"Andries van Renssen"
425;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"is a qualification of";1005123;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. red is a qualification of a colour, 3 kg is a qualification of a mass.";1045;"facts about kinds of relations";"accepted";;"23-jun-00";"13-jul-01";"Andries van Renssen";"Andries van Renssen"
426;910036;"English";492014;"Gellish";491285;"statement";;1726;"is the nature of";1005124;1986;"is an inverse phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. colour is a conceptualization of red, mass is a conceptualization of 3 kg.";1045;"facts about conceptual relations";"accepted";;"23-jun-00";"13-jul-01";"Andries van Renssen";"Andries van Renssen"
427;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"is by definition a";1005955;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. red <is by definition a> colour, requirement-1 <is by definition a> requirement.";1045;"facts about kinds of relations";"accepted";;"23-jun-00";"13-jul-01";"Andries van Renssen";"Andries van Renssen"
428;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"is a qualification of a";1008629;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. red is a qualification of colour, 3 kg is a qualification of mass.";1045;"facts about kinds of relations";"accepted";;"30-mrt-04";"30-mrt-04";"Andries van Renssen";"Andries van Renssen"
429;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"is a type of";1026750;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;;1045;"facts about kinds of relations";"accepted";;"6-apr-10";"6-apr-10";"Andries van Renssen";"Andries van Renssen"
430;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"is defined as a type of";1028098;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;;1045;"facts about kinds of relations";"accepted";;"30-okt-13";"30-okt-13";"Andries van Renssen";"Andries van Renssen"
431;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"is by definition a qualitative";1028064;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. requirement-1 <is by definition a qualitative> requirement.";1045;"facts about kinds of relations";"accepted";;"28-aug-13";"28-aug-13";"Andries van Renssen";"Andries van Renssen"
432;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"is a qualitative";1028066;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. red <is a qualitative> color, requirement-1 <is a qualitative> requirement.";1045;"facts about kinds of relations";"accepted";;"28-aug-13";"28-aug-13";"Andries van Renssen";"Andries van Renssen"
433;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"is defined as a";1028068;6066;"is a base phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. red <is defined as a> colour, requirement-1 <is defined as a> requirement.";1045;"facts about kinds of relations";"accepted";;"28-aug-13";"28-aug-13";"Andries van Renssen";"Andries van Renssen"
434;910036;"English";589830;"Gellish alternative";491285;"statement";;1726;"has as qualitative subtype";1028235;1986;"is an inverse phrase for";;1726;"being a qualitative subtype of a concept";;;;;"E.g. colour is a conceptualization of red, mass is a conceptualization of 3 kg.";1045;"facts about conceptual relations";"accepted";;"12-feb-14";"12-feb-14";"Andries van Renssen";"Andries van Renssen"
356;910036;"English";193259;"ontology";491285;"statement";1,1;1727;"possession of an aspect by an individual thing";1003846;5944;"has by definition as first role a";1,1;4290;"possessor of an aspect";;;;;;1047;"facts about conceptual relations between individual things";"accepted";;"3-sep-99";"3-sep-99";"Epistle modelling team";"ISO 10303-221:2002"
357;910036;"English";193259;"ontology";491285;"statement";1,1;1727;"possession of an aspect by an individual thing";1003477;5945;"has by definition as second role a";1,1;4289;"intrinsic aspect";;;;;;1047;"facts about conceptual relations between individual things";"accepted";;"3-sep-99";"3-sep-99";"Epistle modelling team";"ISO 10303-221:2002"
355;910036;"English";193259;"ontology";491285;"statement";;1727;"possession of an aspect by an individual thing";1008714;1146;"is a kind of";;4658;"binary relation between individual things";"that indicates that the possessed individual aspect is possessed by the possessor individual object.";;;;;1047;"facts about conceptual relations between individual things";"accepted";;"10-mei-04";"17-mei-05";"Andries van Renssen";"Andries van Renssen"
358;910036;"English";492014;"Gellish";491285;"statement";;1727;"has aspect";1005127;6066;"is a base phrase for";;1727;"possession of an aspect by an individual thing";;;;;;1047;"facts about kinds of relations between individual things";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
359;910036;"English";492014;"Gellish";491285;"statement";;1727;"is an aspect of";1005128;1986;"is an inverse phrase for";;1727;"possession of an aspect by an individual thing";;;;;;1047;"facts about conceptual relations between individual things";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
360;910036;"English";589830;"Gellish alternative";491285;"statement";;1727;"has as aspect";1009993;6066;"is a base phrase for";;1727;"possession of an aspect by an individual thing";;;;;;1047;"facts about kinds of relations between individual things";"accepted";;"10-sep-07";"10-sep-07";"Andries van Renssen";"Andries van Renssen"
454;910036;"English";193259;"ontology";491285;"statement";1,1;1728;"classification of a part of an individual thing";1003577;5945;"has by definition as second role a";1,1;4291;"qualitative part for individual thing";;;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"3-sep-99";"23-jun-05";"Andries van Renssen";"ISO 10303-221:2002"
455;910036;"English";193259;"ontology";491285;"statement";1,1;1728;"classification of a part of an individual thing";1003847;5944;"has by definition as first role a";1,1;4292;"whole for kind of part";;;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"3-sep-99";"23-jun-05";"Andries van Renssen";"ISO 10303-221:2002"
451;910036;"English";492014;"Gellish";491285;"statement";;1728;"has a part that is classified as a";1001022;6066;"is a base phrase for";;1728;"classification of a part of an individual thing";;;;;;1048;"facts about kinds of relations between individual things and kinds";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
452;910036;"English";492014;"Gellish";491285;"statement";;1728;"is a classifier of a part of";1001024;1986;"is an inverse phrase for";;1728;"classification of a part of an individual thing";;;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
453;910036;"English";193259;"ontology";491285;"statement";;1728;"classification of a part of an individual thing";1002173;1146;"is a kind of";;4719;"relation between an individual thing and a kind of thing";"that indicates that an individual thing has a part that is classified by a specified kind.";;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"3-sep-99";"9-sep-05";"Andries van Renssen";"Epistle modelling team"
456;910036;"English";492014;"Gellish";491285;"statement";;1728;"has as part a member of kind";1005131;6066;"is a base phrase for";;1728;"classification of a part of an individual thing";;;;;;1048;"facts about kinds of relations between individual things and kinds";"accepted";;"23-jun-00";"11-nov-11";"Andries van Renssen";"Andries van Renssen"
457;910036;"English";492014;"Gellish";491285;"statement";;1728;"has a member that is part of";1005132;1986;"is an inverse phrase for";;1728;"classification of a part of an individual thing";;;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"23-jun-00";"11-nov-11";"Andries van Renssen";"Andries van Renssen"
458;910036;"English";193259;"ontology";491285;"statement";;1733;"scale";1002187;1146;"is a kind of";;1791;"conceptual method for quantification of a characteristic by a number";"that is a qualification of a method or measurement to map the magnitude of an aspect to a mathematical space, such as a range.";"is a conceptual method for quantification of a characteristic by a number that is a qualification of a method or measurement to map the magnitude of an aspect to a mathematical space, such as a range.";;;;1045;"facts about conceptual relations";"accepted";;"3-sep-99";"26-sep-01";"Andries van Renssen";"ISO 10303-221:2002"
460;910036;"English";193259;"ontology";491285;"statement";1,1;1791;"conceptual method for quantification of a characteristic by a number";1003540;5944;"has by definition as first role a";1,1;4390;"conceptually quantified characteristic";;;;;;1045;"facts about conceptual relations";"accepted";;"3-sep-99";"3-sep-99";"Andries van Renssen";"Epistle modelling team"
461;910036;"English";193259;"ontology";491285;"statement";1,1;1791;"conceptual method for quantification of a characteristic by a number";1007365;5945;"has by definition as second role a";1,1;4949;"conceptual quantifier of a characteristic";;;;;;1045;"facts about conceptual relations";"accepted";;"3-sep-99";"4-feb-03";"Andries van Renssen";"Epistle modelling team"
459;910036;"English";193259;"ontology";491285;"statement";;1791;"conceptual method for quantification of a characteristic by a number";1002278;1146;"is a kind of";;1231;"conceptual binary relation between things of specified kinds";"that indicates that an aspect of a specified kind (e.g. a quantitative property or property value) can be quantified by a mathematical space (such as a number). Typically on a scale. Note that a dimensionless property typically has as scale '- ' (dimensionless) or 'pieces' or 'pair', etc.";"is a conceptual binary relation between things of specified kinds that indicates that an aspect of a specified kind (e.g. a quantitative property or property value) can be quantified by a mathematical space (such as a number). Typically on a scale. Note that a dimensionless property typically has as scale '- ' (dimensionless) or 'pieces' or 'pair', etc.";;;;1045;"facts about conceptual relations";"accepted";;"3-sep-99";"16-jul-14";"Andries van Renssen";"Epistle modelling team"
462;910036;"English";492014;"Gellish";491285;"statement";;1791;"can be quantified on scale by a";1006811;6066;"is a base phrase for";;1791;"conceptual method for quantification of a characteristic by a number";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"1-okt-14";"Andries van Renssen";"Andries van Renssen"
463;910036;"English";492014;"Gellish";491285;"statement";;1791;"can be on scale a quantifier of a";1008804;1986;"is an inverse phrase for";;1791;"conceptual method for quantification of a characteristic by a number";;;;;;1045;"facts about conceptual relations";"accepted";;"13-sep-04";"1-okt-14";"Andries van Renssen";"Andries van Renssen"
464;910036;"English";589830;"Gellish alternative";491285;"statement";;1791;"can have as scale value a";1028003;6066;"is a base phrase for";;1791;"conceptual method for quantification of a characteristic by a number";;;;;;1045;"facts about kinds of relations";"accepted";;"8-aug-13";"8-aug-13";"Andries van Renssen";"Andries van Renssen"
465;910036;"English";589830;"Gellish alternative";491285;"statement";;1791;"can be a scale value of a";1028004;1986;"is an inverse phrase for";;1791;"conceptual method for quantification of a characteristic by a number";;;;;;1045;"facts about conceptual relations";"accepted";;"8-aug-13";"8-aug-13";"Andries van Renssen";"Andries van Renssen"
130;910036;"English";193587;"presentation";491285;"statement";1,1;1980;"alias for a term for an object";1004449;5944;"has by definition as first role a";1,1;4551;"something denoted by an alias term";;;;;;1045;"facts about conceptual relations";"accepted";;"8-jun-00";"8-jun-00";"Rob Moonen";"ISO 10303-221:2002"
131;910036;"English";193587;"presentation";491285;"statement";1,1;1980;"alias for a term for an object";1004450;5945;"has by definition as second role a";1,1;4552;"something denoted by a base term";;;;;;1045;"facts about conceptual relations";"accepted";;"8-jun-00";"8-jun-00";"Rob Moonen";"ISO 10303-221:2002"
129;910036;"English";193587;"presentation";491285;"statement";;1980;"alias for a term for an object";1004473;1146;"is a kind of";;5935;"binary relation";"that expresses that the relation that indicates that an alias term is used to denote an object is an alternative for the relation that indicates that the base term is used for the same object. Typically defined within a language community context.";;;;;1045;"facts about conceptual relations";"accepted";;"22-mei-00";"20-sep-07";"Andries van Renssen";"Andries van Renssen"
313;910036;"English";193587;"presentation";491285;"statement";;1981;"synonym for a term for something";1004474;1146;"is a kind of";;1980;"alias for a term for an object";"that specifies that an alias term to denote something or some concept is a synonym of a preferred term for that same thing or concept. Typically specified within a particular language community.";;;;;1045;"facts about conceptual relations";"accepted";;"22-mei-00";"22-mei-00";"Andries van Renssen";"ISO 16354:2013"
314;910036;"English";193587;"presentation";491285;"statement";;1981;"synonym for a term for something";1026192;5944;"has by definition as first role a";;5605;"something denoted by a synonym";;;;;;1045;"facts about conceptual relations";"accepted";;"17-okt-07";"17-okt-07";"Andries van Renssen";"Andries van Renssen"
315;910036;"English";492014;"Gellish";491285;"statement";;1981;"is a synonym of";1005691;6066;"is a base phrase for";;1981;"synonym for a term for something";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
316;910036;"English";492014;"Gellish";491285;"statement";;1981;"is a synonym for";1006677;1986;"is an inverse phrase for";;1981;"synonym for a term for something";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
318;910036;"English";193587;"presentation";491285;"statement";;1982;"abbreviation for a term for an object";1004475;1146;"is a kind of";;1980;"alias for a term for an object";"that specifies that an alias term to denote something or some concept is an abbreviation of a full text term to denote that same thing or concept.";;;;;1045;"facts about conceptual relations";"accepted";;"22-mei-00";"22-mei-00";"Andries van Renssen";"Andries van Renssen"
319;910036;"English";193587;"presentation";491285;"statement";;1982;"abbreviation for a term for an object";1026193;5944;"has by definition as first role a";;5606;"something denoted by an abbreviation";;;;;;1045;"facts about conceptual relations";"accepted";;"17-okt-07";"17-okt-07";"Andries van Renssen";"Andries van Renssen"
320;910036;"English";492014;"Gellish";491285;"statement";;1982;"is an abbreviation of";1005693;6066;"is a base phrase for";;1982;"abbreviation for a term for an object";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
321;910036;"English";492014;"Gellish";491285;"statement";;1982;"has as abbreviation";1027981;1986;"is an inverse phrase for";;1982;"abbreviation for a term for an object";;;;;;1045;"facts about conceptual relations";"accepted";;"8-aug-13";"8-aug-13";"Andries van Renssen";"Andries van Renssen"
322;910036;"English";589830;"Gellish alternative";491285;"statement";;1982;"is abbreviated as";1006199;1986;"is an inverse phrase for";;1982;"abbreviation for a term for an object";;;;;;1045;"facts about conceptual relations";"accepted";;"18-okt-01";"18-okt-01";"Andries van Renssen";"Andries van Renssen"
323;910036;"English";589830;"Gellish alternative";491285;"statement";;1982;"can be abbreviated as";1006679;1986;"is an inverse phrase for";;1982;"abbreviation for a term for an object";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
325;910036;"English";193587;"presentation";491285;"statement";;1983;"code for a term for an object";1004476;1146;"is a kind of";;1980;"alias for a term for an object";"that specifies that an alias term to denote something or some concept is a code for a base term to denote it.";;;;;1045;"facts about conceptual relations";"accepted";;"22-mei-00";"22-mei-00";"Andries van Renssen";"Andries van Renssen"
326;910036;"English";193587;"presentation";491285;"statement";;1983;"code for a term for an object";1026187;5944;"has by definition as first role a";;5971;"something denoted by a code";;;;;;1045;"facts about conceptual relations";"accepted";;"17-okt-07";"8-aug-13";"Andries van Renssen";"Andries van Renssen"
327;910036;"English";492014;"Gellish";491285;"statement";;1983;"is a code for";1005695;6066;"is a base phrase for";;1983;"code for a term for an object";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
328;910036;"English";492014;"Gellish";491285;"statement";;1983;"has as code";1027979;1986;"is an inverse phrase for";;1983;"code for a term for an object";;;;;;1045;"facts about conceptual relations";"accepted";;"8-aug-13";"8-aug-13";"Andries van Renssen";"Andries van Renssen"
329;910036;"English";589830;"Gellish alternative";491285;"statement";;1983;"is coded as";1006201;1986;"is an inverse phrase for";;1983;"code for a term for an object";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
467;910036;"English";193587;"presentation";491285;"statement";;1984;"noun name for a term for a kind of occurrence";1004477;1146;"is a kind of";;1980;"alias for a term for an object";"that specifies that a noun to denote an occurrence or kind of occurrence is an alias for an active form of a verb to denote that occurrence or kind of occurrence. For example, (a) walk is a noun form of walking; and distillation for distilling.";;;;;1045;"facts about conceptual relations";"accepted";;"22-mei-00";"22-mei-00";"Andries van Renssen";"Andries van Renssen"
468;910036;"English";193587;"presentation";491285;"statement";;1984;"noun name for a term for a kind of occurrence";1026197;5944;"has by definition as first role a";;5611;"something denoted by a noun form of verb";;;;;;1045;"facts about conceptual relations";"accepted";;"17-okt-07";"17-okt-07";"Andries van Renssen";"Andries van Renssen"
469;910036;"English";492014;"Gellish";491285;"statement";;1984;"is a noun form of";1005697;6066;"is a base phrase for";;1984;"noun name for a term for a kind of occurrence";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
470;910036;"English";492014;"Gellish";491285;"statement";;1984;"is a verb form of";1006203;1986;"is an inverse phrase for";;1984;"noun name for a term for a kind of occurrence";;;;;;1045;"facts about conceptual relations";"accepted";;"18-okt-01";"18-okt-01";"Andries van Renssen";"Andries van Renssen"
471;910036;"English";193587;"presentation";491285;"statement";;1985;"active name as alias for a passive name for a kind of occurrence";1004478;1146;"is a kind of";;1980;"alias for a term for an object";"that specifies that a passive form of a verb to denote an occurrence or kind of occurrence is an alias for is an active form of that verb to denote that occurrence or kind of occurrence. For example, vertilating <is a passive form of> ventilation.";"is a alias for a term for an object that specifies that a passive form of a verb to denote an occurrence or kind of occurrence is an alias for is an active form of that verb to denote that occurrence or kind of occurrence. For example, vertilating <is a passive form of> ventilation.";;;;1045;"facts about conceptual relations";"accepted";;"22-mei-00";"25-sep-14";"Andries van Renssen";"Andries van Renssen"
472;910036;"English";193587;"presentation";491285;"statement";;1985;"active name as alias for a passive name for a kind of occurrence";1026198;5944;"has by definition as first role a";;5614;"something denoted by an active verb";;;;;;1045;"facts about conceptual relations";"accepted";;"17-okt-07";"17-okt-07";"Andries van Renssen";"Andries van Renssen"
473;910036;"English";193587;"presentation";491285;"statement";;1985;"active name as alias for a passive name for a kind of occurrence";1026199;5945;"has by definition as second role a";;5613;"something denoted by a passive verb";;;;;;1045;"facts about conceptual relations";"accepted";;"17-okt-07";"17-okt-07";"Andries van Renssen";"Andries van Renssen"
474;910036;"English";492014;"Gellish";491285;"statement";;1985;"is a passive form of";1005699;6066;"is a base phrase for";;1985;"active name as alias for a passive name for a kind of occurrence";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
475;910036;"English";492014;"Gellish";491285;"statement";;1985;"is an active form of";1006205;1986;"is an inverse phrase for";;1985;"active name as alias for a passive name for a kind of occurrence";;;;;;1045;"facts about conceptual relations";"accepted";;"18-okt-01";"18-okt-01";"Andries van Renssen";"Andries van Renssen"
331;910036;"English";193587;"presentation";491285;"statement";;1986;"inverse for a term for an object";1004479;1146;"is a kind of";;1980;"alias for a term for an object";"that specifies that an alias phrase (qualitative pattern) is an inverse phrase of a base phrase (expression) to denote something. Typically a phrase that denotes a kind of relation between a sequence of two related things, whereas the same meaning can be expressed using an inverse phrase and an inverse sequence of related things. For example: <is a classifier of> is an inverse phrase of <is classified as a>.";"is a alias for a term for an object that specifies that an alias phrase (qualitative pattern) is an inverse phrase of a base phrase (expression) to denote something. Typically a phrase that denotes a kind of relation between a sequence of two related things, whereas the same meaning can be expressed using an inverse phrase and an inverse sequence of related things. For example: <is a classifier of> is an inverse phrase of <is classified as a>.";;;;1045;"facts about conceptual relations";"accepted";;"22-mei-00";"22-mei-00";"Andries van Renssen";"Andries van Renssen"
332;910036;"English";193587;"presentation";491285;"statement";;1986;"inverse for a term for an object";1026200;5944;"has by definition as first role a";;5615;"something denoted by an inverse term";;;;;;1045;"facts about conceptual relations";"accepted";;"17-okt-07";"17-okt-07";"Andries van Renssen";"Andries van Renssen"
333;910036;"English";492014;"Gellish";491285;"statement";;1986;"is an inverse phrase for";1005701;6066;"is a base phrase for";;1986;"inverse for a term for an object";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
334;910036;"English";492014;"Gellish";491285;"statement";;1986;"is inverted as";1007038;1986;"is an inverse phrase for";;1986;"inverse for a term for an object";;;;;;1045;"facts about conceptual relations";"accepted";;"12-nov-02";"15-apr-14";"Andries van Renssen";"Andries van Renssen"
335;910036;"English";589830;"Gellish alternative";491285;"statement";;1986;"has as inverse term";1028290;1986;"is an inverse phrase for";;1986;"inverse for a term for an object";;;;;;1045;"facts about conceptual relations";"accepted";;"15-apr-14";"15-apr-14";"Andries van Renssen";"Andries van Renssen"
398;910036;"English";193259;"ontology";491285;"statement";1,1;2044;"quantification of an aspect by a mathematical space";1005835;5944;"has by definition as first role a";1,1;2046;"quantified aspect";;;;;;1050;"facts about kinds of correlations";"accepted";;"19-jul-00";"19-jul-00";"Andries van Renssen";"Andries van Renssen"
399;910036;"English";193259;"ontology";491285;"statement";1,1;2044;"quantification of an aspect by a mathematical space";1005834;5945;"has by definition as second role a";1,1;2045;"quantifier";;;;;;1050;"facts about kinds of correlations";"accepted";;"19-jul-00";"19-jul-00";"Andries van Renssen";"Andries van Renssen"
397;910036;"English";193259;"ontology";491285;"statement";;2044;"quantification of an aspect by a mathematical space";1005760;1146;"is a kind of";;4719;"relation between an individual thing and a kind of thing";"that specifies that an individual aspect is quantified by a quantitative mathematical space. Typically the magnitude or severity of an aspect that is quantified by a number or vector or a numeric aspect; or the number of elements in a collection that is quantified by a number. For example, the number of bolts N-1 (in collection of bolts B-1) is quantified as 3 (at moment t1).";;;;"not only by a single number (?)";1050;"facts about kinds of correlations";"accepted";;"19-jul-00";"9-dec-08";"Andries van Renssen";"Andries van Renssen"
400;910036;"English";492014;"Gellish";491285;"statement";;2044;"is quantified as";1006880;6066;"is a base phrase for";;2044;"quantification of an aspect by a mathematical space";;;;;;1050;"facts about kinds of correlations";"accepted";;"31-jul-02";"13-sep-02";"Andries van Renssen";"Andries van Renssen"
401;910036;"English";492014;"Gellish";491285;"statement";;2044;"is quantification of";1007040;1986;"is an inverse phrase for";;2044;"quantification of an aspect by a mathematical space";;;;;;1050;"facts about kinds of correlations";"accepted";;"12-nov-02";"12-nov-02";"Andries van Renssen";"Andries van Renssen"
402;910036;"English";589830;"Gellish alternative";491285;"statement";;2044;"is expressed as number";1005820;6066;"is a base phrase for";;2044;"quantification of an aspect by a mathematical space";;;;;;1050;"facts about kinds of correlations";"accepted";;"19-jul-00";"19-jul-00";"Andries van Renssen";"Andries van Renssen"
403;910036;"English";589830;"Gellish alternative";491285;"statement";;2044;"is mathematically expressed as";1006207;6066;"is a base phrase for";;2044;"quantification of an aspect by a mathematical space";;;;;;1050;"facts about kinds of correlations";"accepted";;"18-okt-01";"18-okt-01";"Andries van Renssen";"Andries van Renssen"
404;910036;"English";589830;"Gellish alternative";491285;"statement";;2044;"is quantified by";1006879;6066;"is a base phrase for";;2044;"quantification of an aspect by a mathematical space";;;;;;1050;"facts about kinds of correlations";"accepted";;"31-jul-02";"13-sep-02";"Andries van Renssen";"Andries van Renssen"
396;910036;"English";193259;"ontology";491285;"statement";;2045;"quantifier";1005761;1146;"is a kind of";;4894;"related kind";"that indicates a numeric value or mathematical space that quantifies a magnitude of an aspect.";;;;"Note that a plural object or collection also has a quantitative aspect (its number) that is quantified by a number (class). The collection itself cannot be quantified. ";1049;"facts about concepts";"accepted";;"19-jul-00";"9-dec-08";"Andries van Renssen";"Andries van Renssen"
75;910036;"English";193259;"ontology";491285;"statement";0,1;2046;"quantified aspect";1005838;5343;"is by definition a role of a";1,1;790229;"aspect";;;;;;1051;"facts about kinds of roles in relations";"accepted";;"19-jul-00";"6-nov-02";"Andries van Renssen";"Andries van Renssen"
79;910036;"English";193259;"ontology";491285;"statement";;2046;"quantified aspect";1005762;1146;"is a kind of";;4893;"relating individual thing";"that indicates an individual aspect which magnitude is quantified by a numeric value.";;;;;1049;"facts about concepts";"accepted";;"19-jul-00";"9-dec-08";"Andries van Renssen";"Andries van Renssen"
476;910036;"English";193259;"ontology";491285;"statement";;2066;"conceptual correlation";1001037;1146;"is a kind of";;4698;"conceptual relation between things of specified kinds";"that specifies that the magnitude of aspects of particular kinds are correlated in concept, provided that the aspects are possessed by particular objects. Typically possessed by the same object. For example";"is a conceptual relation between things of specified kinds that specifies that the magnitude of aspects of particular kinds are correlated in concept, provided that the aspects are possessed by particular objects. Typically possessed by the same object. For example, the pressure, temperature and volume of an ideal gas are correlated by the law of Boyle-Gay Lussac.";;;;1045;"facts about conceptual relations";"accepted";;"24-jul-98";"19-dec-02";"Andries van Renssen";"Andries van Renssen"
478;910036;"English";193259;"ontology";491285;"statement";1,1;2069;"conceptual possession of an aspect by an individual thing";1006152;5944;"has by definition as first role a";1,1;4705;"conceptual possessor of an aspect";;;;;;1045;"facts about conceptual relations";"accepted";;"9-mei-01";"9-mei-01";"Andries van Renssen";"Andries van Renssen"
479;910036;"English";193259;"ontology";491285;"statement";1,1;2069;"conceptual possession of an aspect by an individual thing";1005873;5945;"has by definition as second role a";1,1;4620;"conceptually possessed aspect";;;;;;1045;"facts about conceptual relations";"accepted";;"9-mei-01";"9-mei-01";"Andries van Renssen";"Andries van Renssen"
